buy_amount,buy_rate,sell_amount,sell_rate
10,0%,1,3%
10,-3%,3,5%
15,-5%,4,8%
15,-8%,7,10%
20,-10.0%,8,12.5%
0,-14%,0,14%
20,-15%,8,15%
0,-18%,0,18%
10,-20%,8,20%
0.00,-30%,0,30%
5,-40%,8,40%
5,-50%,5,50%
5,-80%,10,80%
,,10,120%
,,10,150%
,,10,200%
,,10,250%
,,15,300%
,,15,400%
,,15,500%
,,15,600%
