buy_amount,buy_rate,sell_amount,sell_rate
1,-3%,1,3%
3,-5%,3,5%
4,-8%,4,8%
7,-10%,7,10%
10,-12.5%,8,12.5%
0.00,-14%,0,14%
10,-15%,9,15%
0.00,-18%,0,18%
15,-20%,10,20%
0.00,-30%,0,30%
20,-40%,14,40%
20,-50%,3,50%
10,-80%,3,80%
,,4,120%
,,4,150%
,,5,200%
,,5,250%
,,5,300%
,,5,400%
,,5,500%
,,5,600%
